w,e
25.171753,1.0
24.929717,0.8716523
24.692291,0.8718439
24.459345,0.8681349
24.230752,0.8623575
24.006393,0.856748
23.786151,0.8528024
23.569913,0.8509174
23.357571,0.8504595
23.149022,0.8500574
22.944163,0.8484952
22.742898,0.8449811
22.545134,0.8403663
22.350779,0.8361927
22.159751,0.8338702
21.971957,0.8341273
21.787318,0.8366341
21.605757,0.8398815
21.427192,0.8417736
21.251564,0.8413185
21.078787,0.8392378
20.908797,0.8374173
20.741526,0.8377835
20.576911,0.8413857
20.414888,0.8476815
20.255396,0.8542069
20.098378,0.857146
19.943775,0.8545603
19.791532,0.8468751
19.641596,0.8363861
19.493915,0.825802
19.348437,0.8173275
19.205116,0.8121839
19.063901,0.8101766
18.924749,0.8093526
18.787613,0.8078071
18.65245,0.8039496
18.519218,0.7971374
18.387879,0.7872025
18.258384,0.773938
18.130706,0.7570751
18.004795,0.7366988
17.880624,0.7135491
17.758154,0.6892189
17.63735,0.6652826
17.518179,0.6430836
17.400607,0.6240136
17.284603,0.609789
17.170135,0.6018633
17.057177,0.59971
16.945692,0.5995745
16.835655,0.5957518
16.727037,0.5836973
16.619813,0.5616933
16.513954,0.5308508
16.409435,0.4947427
16.306231,0.458801
16.204317,0.4285926
16.103669,0.4074017
16.004264,0.3948782
15.906078,0.388325
15.809089,0.3846995
15.713277,0.3819025
15.618618,0.3789972
15.525094,0.3758382
15.432682,0.3725583
15.341365,0.3691792
15.251121,0.3653423
15.161933,0.3606035
15.073785,0.3546713
14.986651,0.3476952
14.90052,0.3403331
14.815375,0.3335106
14.731196,0.32798
14.647969,0.3239522
14.565677,0.3211524
14.484304,0.3190831
14.403836,0.3174759
14.324257,0.3165762
14.245554,0.317233
14.167709,0.3208269
14.090711,0.3290634
14.014545,0.3436708
13.939198,0.3659851
13.864657,0.3964824
13.790906,0.4340374
13.71794,0.4746206
13.645739,0.5095803
13.574297,0.5262945
13.503596,0.5157974
13.433631,0.4822768
13.364385,0.439731
13.29585,0.3999588
13.228014,0.3680151
13.160866,0.3447119
13.094397,0.329315
13.028596,0.3205331
12.963453,0.3166342
12.898958,0.3155628
12.835102,0.3153595
12.771875,0.3145713
12.709268,0.3125391
12.647271,0.309401
12.585877,0.3058546
12.525075,0.3027609
12.464858,0.3007179
12.405218,0.2997858
12.346145,0.2995918
12.287633,0.2995779
12.229674,0.2993454
12.172256,0.2988216
12.115378,0.2982241
12.059026,0.2978896
12.003198,0.2980697
11.947882,0.2987852
11.893077,0.2998264
11.838769,0.300847
11.784958,0.3015465
11.731631,0.3018149
11.678787,0.3017726
11.626414,0.3016882
11.574512,0.3018206
11.52307,0.3022713
11.472083,0.3029438
11.421545,0.3036098
11.37145,0.3040566
11.321793,0.3042218
11.272568,0.3042348
11.223769,0.3043471
11.175391,0.3047871
11.127428,0.3056305
11.079874,0.3067545
11.032726,0.3079144
10.985977,0.30889
10.939623,0.3096104
10.893658,0.3101909
10.848078,0.3108601
10.802877,0.311822
10.758052,0.3131328
10.713599,0.3146601
10.66951,0.3161614
10.625781,0.3174168
10.58241,0.3183464
10.539392,0.3190453
10.496723,0.3197181
10.454397,0.320554
10.412412,0.321614
10.370762,0.3227936
10.329444,0.3238826
10.288454,0.3246835
10.247788,0.3251168
10.207444,0.325256
10.167415,0.3252789
10.127698,0.3253624
10.088291,0.3255829
10.049189,0.3258807
10.010389,0.3261012
9.9718892,0.3260903
9.9336827,0.3257899
9.8957679,0.325276
9.8581413,0.3247252
9.8207999,0.3243239
9.7837402,0.3241709
9.7469592,0.3242314
9.7104537,0.3243636
9.6742206,0.3244126
9.6382569,0.3243102
9.6025597,0.3241239
9.5671258,0.3240263
9.5319525,0.3241921
9.4970369,0.3246867
9.4623762,0.3254064
9.4279675,0.3261221
9.3938082,0.326599
9.3598955,0.3267284
9.3262267,0.3265913
9.2927994,0.3264153
9.2596108,0.3264484
9.2266584,0.3268233
9.1939397,0.3274905
9.1614523,0.3282646
9.1291936,0.3289472
9.0971613,0.329445
9.065353,0.3298154
9.0337664,0.3302218
9.0023991,0.3308269
8.9712489,0.3316898
8.9403136,0.3327314
8.9095908,0.3337805
8.8790785,0.3346758
8.8487744,0.3353575
8.8186765,0.3359012
8.7887827,0.3364708
8.7590908,0.3372255
8.7295989,0.3382291
8.7003049,0.3394204
8.6712069,0.3406511
8.6423029,0.3417757
8.6135909,0.3427296
8.585069,0.343557
8.5567354,0.344373
8.5285883,0.3452886
8.5006256,0.3463393
8.4728458,0.3474649
8.4452469,0.348543
8.4178273,0.349461
8.3905851,0.350181
8.3635187,0.3507607
8.3366263,0.3513232
8.3099063,0.3519899
8.2833571,0.352816
8.2569769,0.3537653
8.2307643,0.3547332
8.2047175,0.3556103
8.1788351,0.3563425
8.1531155,0.3569558
8.1275571,0.3575303
8.1021585,0.3581423
8.0769181,0.3588107
8.0518345,0.3594809
8.0269062,0.3600556
8.0021318,0.36045
7.9775098,0.3606422
7.9530389,0.3606877
7.9287177,0.3606936
7.9045447,0.3607687
7.8805187,0.3609733
7.8566383,0.3612975
7.8329023,0.3616772
7.8093092,0.3620372
7.7858578,0.3623365
7.7625468,0.3625888
7.739375,0.3628501
7.7163411,0.3631824
7.693444,0.3636123
7.6706823,0.3641146
7.6480549,0.3646254
7.6255606,0.3650808
7.6031982,0.3654557
7.5809666,0.3657812
7.5588647,0.3661296
7.5368912,0.3665754
7.5150451,0.3671534
7.4933253,0.3678392
7.4717307,0.368562
7.4502602,0.3692447
7.4289127,0.3698442
7.4076873,0.370374
7.3865827,0.3708915
7.3655981,0.3714639
7.3447324,0.3721268
7.3239845,0.3728631
7.3033536,0.3736125
7.2828385,0.3743061
7.2624384,0.374908
7.2421522,0.3754361
7.2219791,0.3759535
7.201918,0.3765342
7.1819681,0.3772203
7.1621284,0.3779988
7.142398,0.3788094
7.122776,0.379582
7.1032615,0.3802783
7.0838537,0.380915
7.0645516,0.3815538
7.0453545,0.3822663
7.0262614,0.3830902
7.0072714,0.3840054
6.9883839,0.3849395
6.9695979,0.385804
6.9509127,0.3865356
6.9323273,0.3871223
6.9138411,0.3876022
6.8954532,0.3880405
6.8771629,0.3884966
6.8589693,0.3889988
6.8408717,0.3895375
6.8228694,0.390083
6.8049616,0.3906115
6.7871476,0.3911226
6.7694266,0.3916337
6.7517978,0.3921575
6.7342607,0.3926803
6.7168144,0.3931532
6.6994583,0.3935052
6.6821916,0.3936718
6.6650137,0.3936333
6.647924,0.3934397
6.6309216,0.3932074
6.614006,0.3930787
6.5971764,0.393161
6.5804323,0.3934824
6.563773,0.3939922
6.5471978,0.3946041
6.5307061,0.3952523
6.5142973,0.3959242
6.4979707,0.396659
6.4817257,0.3975166
6.4655618,0.3985367
6.4494783,0.3997121
6.4334747,0.4009941
6.4175502,0.4023218
6.4017044,0.4036588
6.3859366,0.4050046
6.3702464,0.4063797
6.354633,0.4077927
6.339096,0.4092169
6.3236348,0.4105887
6.3082488,0.4118276
6.2929375,0.412864
6.2777004,0.4136617
6.2625368,0.4142274
6.2474464,0.414605
6.2324284,0.4148579
6.2174826,0.4150465
6.2026082,0.4152096
6.1878048,0.4153584
6.1730719,0.4154858
6.1584091,0.4155877
6.1438157,0.4156813
6.1292913,0.4158089
6.1148354,0.4160273
6.1004475,0.4163841
6.0861272,0.4168953
6.071874,0.4175378
6.0576874,0.418261
6.0435669,0.4190128
6.029512,0.4197611
6.0155225,0.4204984
6.0015976,0.4212291
5.9877371,0.421951
5.9739405,0.4226473
5.9602073,0.4232929
5.9465371,0.4238733
5.9329294,0.4244065
5.9193839,0.4249543
5.9059001,0.4256084
5.8924776,0.4264534
5.879116,0.4275231
5.8658148,0.4287821
5.8525737,0.4301372
5.8393922,0.4314779
5.82627,0.4327186
5.8132066,0.4338203
5.8002016,0.4347904
5.7872547,0.4356672
5.7743655,0.4364989
5.7615336,0.4373269
5.7487586,0.4381787
5.7360401,0.4390698
5.7233777,0.4400113
5.7107711,0.4410129
5.69822,0.4420794
5.6857239,0.4432022
5.6732825,0.4443531
5.6608954,0.4454873
5.6485623,0.4465567
5.6362828,0.4475295
5.6240566,0.4484058
5.6118833,0.4492207
5.5997626,0.4500302
5.5876941,0.4508871
5.5756776,0.4518174
5.5637126,0.45281
5.5517988,0.4538236
5.539936,0.4548078
5.5281238,0.4557254
5.5163618,0.4565654
5.5046498,0.4573421
5.4929874,0.4580836
5.4813743,0.4588171
5.4698102,0.4595587
5.4582978,0.4603113
5.4468278,0.4610715
5.4354089,0.4618381
5.4240377,0.4626168
5.412717,0.4634174
5.4014375,0.4642456
5.3902079,0.4650969
5.3790249,0.4659563
5.3678911,0.4668058
5.3567975,0.4676348
5.3457526,0.4684484
5.3347559,0.469267
5.3237988,0.4701147
5.3128893,0.4710052
5.3020245,0.4719315
5.2912069,0.4728664
5.2804277,0.4737745
5.2696951,0.4746298
5.259006,0.4754303
5.248363,0.4761997
5.2377575,0.476979
5.2271975,0.4778068
5.2166827,0.4787017
5.2062075,0.4796559
5.1957715,0.4806415
5.1853799,0.4816273
5.1750325,0.4825956
5.1647237,0.4835489
5.1544532,0.484505
5.1442261,0.4854826
5.1340421,0.4864875
5.1238958,0.4875076
5.1137869,0.4885186
5.103723,0.489498
5.093696,0.4904389
5.0837083,0.4913548
5.0737572,0.492273
5.0638501,0.4932195
5.053979,0.4942051
5.0441438,0.4952194
5.0343494,0.4962369
5.0245954,0.4972311
5.0148766,0.4981895
5.0051929,0.4991195
4.9955515,0.5000439
4.9859446,0.5009867
4.9763747,0.5019588
4.9668389,0.5029522
4.9573445,0.503944
4.9478839,0.5049108
4.9384594,0.5058409
4.9290682,0.5067408
4.9197176,0.5076307
4.9103999,0.5085312
4.9011175,0.5094509
4.8918701,0.5103811
4.8826575,0.5113015
4.8734796,0.5121924
4.8643361,0.5130482
4.8552268,0.5138818
4.8461516,0.5147187
4.8371103,0.5155835
4.8281026,0.5164854
4.8191285,0.5174129
4.8101876,0.51834
4.8012798,0.5192394
4.792405,0.5200973
4.7835629,0.52092
4.7747534,0.5217301
4.7659763,0.5225535
4.7572313,0.5234057
4.7485185,0.5242854
4.7398374,0.5251774
4.7311881,0.5260649
4.7225702,0.5269412
4.7139837,0.5278153
4.7054284,0.5287074
4.6969041,0.5296372
4.6884106,0.5306119
4.6799477,0.5316206
4.6715154,0.5326401
4.6631134,0.5336469
4.6547415,0.5346305
4.6463997,0.5355984
4.6380877,0.5365727
4.6298054,0.5375764
4.6215526,0.5386205
4.6133292,0.5396983
4.605135,0.540789
4.5969699,0.541869
4.5888336,0.5429255
4.5807261,0.5439619
4.5726472,0.544995
4.5645968,0.5460439
4.5565747,0.5471172
4.5485807,0.5482097
4.5406147,0.5493039
4.5326765,0.550382
4.5247661,0.5514372
4.5168832,0.552478
4.5090277,0.5535241
4.5011996,0.554595
4.4933985,0.5556975
4.4856245,0.5568228
4.4778773,0.5579491
4.4701568,0.559055
4.4624629,0.5601307
4.4547954,0.5611834
4.4471542,0.5622334
4.4395392,0.5633019
4.4319503,0.5643991
4.4243872,0.5655187
4.4168499,0.5666426
4.4093383,0.5677532
4.4018521,0.5688467
4.3943914,0.5699389
4.3869558,0.5710603
4.3795454,0.5722436
4.37216,0.5735104
4.3647995,0.5748639
4.3574637,0.5762906
4.3501525,0.5777701
4.3428658,0.5792893
4.3356035,0.5808547
4.3283654,0.5824981
4.3211514,0.5842707
4.3139615,0.5862215
4.3067954,0.5883644
4.2996531,0.5906425
4.2925345,0.5929214
4.2854394,0.5950418
4.2783677,0.5969149
4.2713193,0.5985725
4.2642941,0.6001017
4.257292,0.6014934
4.2503128,0.6025275
4.2433565,0.6028581
4.2364229,0.6023579
4.2295119,0.6013589
4.2226235,0.6003923
4.2157574,0.5997971
4.2089136,0.5996431
4.2020921,0.5998552
4.1952925,0.6003247
4.188515,0.6009581
4.1817593,0.6016923
4.1750254,0.6024934
4.1683132,0.6033505
4.1616224,0.6042665
4.1549532,0.6052469
4.1483052,0.6062881
4.1416785,0.6073733
4.135073,0.6084755
4.1284885,0.6095684
4.1219249,0.6106385
4.1153821,0.6116898
4.1088601,0.6127404
4.1023588,0.6138113
4.0958779,0.6149139
4.0894176,0.6160441
4.0829775,0.6171844
4.0765578,0.6183147
4.0701581,0.6194232
4.0637786,0.6205134
4.057419,0.6216011
4.0510792,0.6227056
4.0447593,0.6238381
4.0384591,0.6249954
4.0321784,0.6261625
4.0259172,0.6273212
4.0196755,0.6284607
4.0134531,0.6295842
4.0072499,0.6307062
4.0010659,0.6318446
3.9949009,0.6330091
3.9887549,0.6341966
3.9826278,0.6353918
3.9765194,0.6365762
3.9704298,0.6377386
3.9643588,0.6388801
3.9583064,0.6400134
3.9522724,0.6411536
3.9462567,0.6423098
3.9402594,0.6434784
3.9342802,0.644646
3.9283192,0.6457966
3.9223762,0.6469213
3.9164511,0.6480232
3.910544,0.6491157
3.9046546,0.6502141
3.8987829,0.6513266
3.8929289,0.6524493
3.8870924,0.653568
3.8812734,0.6546672
3.8754718,0.6557391
3.8696875,0.6567887
3.8639204,0.6578318
3.8581706,0.6588863
3.8524378,0.6599635
3.846722,0.6610616
3.8410231,0.6621684
3.8353411,0.663269
3.8296759,0.6643551
3.8240274,0.66543
3.8183956,0.6665071
3.8127803,0.6676016
3.8071815,0.6687213
3.8015991,0.6698614
3.7960331,0.6710068
3.7904833,0.6721397
3.7849498,0.6732495
3.7794323,0.674338
3.773931,0.6754185
3.7684456,0.6765075
3.7629762,0.6776164
3.7575226,0.6787455
3.7520848,0.6798847
3.7466627,0.6810213
3.7412562,0.6821469
3.7358654,0.6832631
3.73049,0.6843795
3.7251301,0.6855071
3.7197856,0.6866508
3.7144564,0.6878048
3.7091424,0.6889557
3.7038436,0.69009
3.69856,0.6912018
3.6932914,0.6922972
3.6880377,0.6933916
3.682799,0.6945017
3.6775752,0.695636
3.6723662,0.696791
3.6671719,0.6979528
3.6619923,0.6991053
3.6568272,0.7002391
3.6516768,0.7013567
3.6465408,0.7024699
3.6414193,0.7035931
3.6363121,0.7047345
3.6312192,0.7058908
3.6261406,0.7070495
3.6210761,0.7081966
3.6160258,0.7093246
3.6109895,0.7104373
3.6059673,0.711548
3.600959,0.7126715
3.5959646,0.7138162
3.590984,0.7149782
3.5860173,0.7161442
3.5810642,0.7172985
3.5761248,0.7184319
3.571199,0.7195471
3.5662868,0.7206564
3.561388,0.7217752
3.5565027,0.7229129
3.5516308,0.7240681
3.5467722,0.7252294
3.5419269,0.726383
3.5370948,0.7275207
3.5322758,0.728644
3.52747,0.7297633
3.5226772,0.7308904
3.5178975,0.7320305
3.5131307,0.7331778
3.5083768,0.7343175
3.5036357,0.7354334
3.4989075,0.7365166
3.494192,0.7375709
3.4894891,0.7386104
3.484799,0.7396534
3.4801214,0.7407125
3.4754563,0.7417904
3.4708038,0.7428796
3.4661637,0.74397
3.4615359,0.745056
3.4569205,0.7461411
3.4523175,0.7472358
3.4477266,0.7483511
3.4431479,0.7494899
3.4385814,0.7506428
3.434027,0.7517908
3.4294847,0.752913
3.4249543,0.7539968
3.4204359,0.755043
3.4159294,0.7560654
3.4114347,0.7570824
3.4069519,0.7581075
3.4024808,0.7591432
3.3980215,0.7601805
3.3935738,0.7612064
3.3891377,0.7622115
3.3847133,0.7631969
3.3803004,0.7641739
3.3758989,0.7651579
3.3715089,0.7661606
3.3671303,0.7671841
3.3627631,0.7682213
3.3584072,0.7692611
3.3540626,0.7702962
3.3497291,0.7713277
3.3454069,0.7723641
3.3410958,0.773416
3.3367958,0.7744886
3.3325069,0.775577
3.3282289,0.7766683
3.323962,0.7777478
3.3197059,0.7788067
3.3154608,0.7798479
3.3112265,0.7808839
3.307003,0.7819312
3.3027902,0.7830009
3.2985882,0.7840931
3.2943969,0.7851975
3.2902161,0.7862987
3.286046,0.7873845
3.2818865,0.7884521
3.2777374,0.7895077
3.2735989,0.7905625
3.2694708,0.7916252
3.265353,0.7926971
3.2612457,0.7937724
3.2571486,0.794842
3.2530619,0.7959007
3.2489853,0.7969506
3.244919,0.7980004
3.2408629,0.7990606
3.2368168,0.8001366
3.2327809,0.8012252
3.228755,0.8023153
3.2247392,0.8033944
3.2207333,0.8044552
3.2167373,0.8055
3.2127513,0.8065391
3.2087751,0.807585
3.2048088,0.8086447
3.2008522,0.8097156
3.1969054,0.8107861
3.1929683,0.8118427
3.1890409,0.812877
3.1851232,0.8138909
3.1812151,0.8148952
3.1773165,0.8159038
3.1734275,0.8169256
3.169548,0.8179597
3.165678,0.8189963
3.1618174,0.8200219
3.1579662,0.8210273
3.1541244,0.8220126
3.1502919,0.8229863
3.1464687,0.8239608
3.1426548,0.8249448
3.1388502,0.8259388
3.1350547,0.8269359
3.1312684,0.8279267
3.1274912,0.8289067
3.1237232,0.8298796
3.1199642,0.8308561
3.1162152,0.8318475
3.1124733,0.8328581
3.1087413,0.8338809
3.1050182,0.834899
3.1013051,0.8358935
3.0975988,0.8368523
3.0939024,0.8377759
3.0902148,0.8386769
3.0865369,0.8395739
3.0828659,0.8404811
3.0792045,0.8414031
3.0755528,0.8423333
3.0719088,0.8432593
3.0682724,0.844171
3.0646456,0.8450665
3.0610283,0.8459527
3.0574177,0.8468409
3.0538165,0.8477401
3.0502238,0.848651
3.0466404,0.8495659
3.0430636,0.8504729
3.0394961,0.8513629
3.0359379,0.8522348
3.0323871,0.8530956
3.0288437,0.8539567
3.0253094,0.8548268
3.0217843,0.8557076
3.0182665,0.856593
3.014756,0.8574731
3.0112546,0.8583404
3.0077621,0.8591939
3.0042769,0.8600393
3.0007988,0.8608853
2.9973306,0.8617372
2.9938695,0.8625939
2.9904163,0.8634477
2.9869702,0.8642895
2.9835339,0.8651142
2.9801045,0.865925
2.9766822,0.866732
2.9732685,0.8675474
2.9698636,0.8683783
2.9664656,0.8692232
2.9630745,0.8700714
2.9596928,0.8709099
2.956318,0.8717289
2.9529509,0.8725279
2.9495906,0.8733149
2.9462397,0.874102
2.9428955,0.8748989
2.9395588,0.8757075
2.9362289,0.8765217
2.9329083,0.8773317
2.9295942,0.8781299
2.9262877,0.8789153
2.9229886,0.8796939
2.9196969,0.8804743
2.9164127,0.8812623
2.9131358,0.882057
2.9098663,0.8828506
2.9066041,0.8836332
2.9033492,0.8843983
2.9001016,0.8851473
2.8968613,0.8858883
2.8936282,0.8866319
2.8904023,0.8873851
2.8871836,0.8881471
2.883972,0.8889096
2.8807676,0.8896617
2.8775703,0.8903961
2.8743801,0.8911131
2.871197,0.8918209
2.8680209,0.8925309
2.8648518,0.8932514
2.8616897,0.8939835
2.8585346,0.8947203
2.8553864,0.8954515
2.8522451,0.8961691
2.8491108,0.8968717
2.8459833,0.8975647
2.8428628,0.898257
2.839749,0.8989542
2.836642,0.8996555
2.8335419,0.90035389
2.8304485,0.9010399
2.8273619,0.90170794
2.8242819,0.90235992
2.8212087,0.90300514
2.8181422,0.90365581
2.8150823,0.9043208
2.8120291,0.90500133
2.8089825,0.90569045
2.8059424,0.90637752
2.802909,0.90705436
2.7998821,0.90772001
2.7968617,0.90838033
2.7938478,0.90904366
2.7908405,0.90971413
2.7878396,0.91038804
2.7848451,0.91105415
2.7818571,0.9116996
2.7788754,0.91231723
2.7759002,0.91291134
2.7729313,0.91349752
2.7699688,0.91409669
2.7670126,0.91472481
2.7640627,0.91538533
2.761119,0.91606714
2.7581817,0.91675127
2.7552505,0.91742112
2.7523256,0.9180706
2.749407,0.91870533
2.7464944,0.91933743
2.7435881,0.91997683
2.7406879,0.92062481
2.7377938,0.92127279
2.7349058,0.92190716
2.732024,0.92251709
2.7291481,0.92310123
2.7262784,0.92366984
2.7234146,0.92424128
2.7205569,0.9248334
2.7177052,0.9254554
2.7148594,0.92610273
2.7120196,0.92675988
2.7091857,0.92740797
2.7063577,0.92803288
2.7035357,0.92862908
2.7007195,0.92919865
2.6979092,0.92974648
2.6951047,0.93027603
2.692306,0.93078697
2.6895132,0.93127685
2.6867261,0.93174491
2.6839448,0.93219669
2.6811693,0.93264625
2.6783995,0.93311437
2.6756354,0.93362168
2.672877,0.93417953
2.6701243,0.93478381
2.6673773,0.93541715
2.6646359,0.93605814
2.6619001,0.93669099
2.6591699,0.93730863
2.6564454,0.93790985
2.6537264,0.93849426
2.651013,0.93905908
2.6483051,0.93959878
2.6456027,0.94010777
2.6429059,0.94058347
2.6402145,0.94102891
2.6375287,0.94145278
2.6348482,0.9418672
2.6321733,0.94228304
2.6295037,0.94270605
2.6268396,0.94313488
2.6241808,0.94356337
2.6215275,0.9439851
2.6188794,0.94439846
2.6162368,0.944808
2.6135994,0.94522243
2.6109674,0.94564963
2.6083407,0.94609298
2.6057192,0.94654971
2.6031031,0.94701353
2.6004921,0.94747841
2.5978864,0.94794236
2.5952859,0.94840782
2.5926906,0.94887918
2.5901005,0.94935805
2.5875156,0.94984073
2.5849358,0.95031862
2.5823612,0.95078279
2.5797917,0.95122878
2.5772273,0.95165977
2.5746679,0.95208545
2.5721137,0.95251789
2.5695645,0.95296546
2.5670204,0.95342891
2.5644813,0.95390058
2.5619472,0.95436821
2.5594182,0.95482067
2.5568941,0.95525284
2.554375,0.95566673
2.5518608,0.95606922
2.5493516,0.95646761
2.5468473,0.9568664
2.544348,0.95726573
2.5418535,0.95766288
2.539364,0.95805481
2.5368792,0.95844059
2.5343994,0.95882165
2.5319244,0.95920051
2.5294542,0.95957799
2.5269889,0.95995214
2.5245283,0.96031868
2.5220725,0.9606738
2.5196216,0.96101687
2.5171753,0.96135195
2.5147338,0.96168649
2.5122971,0.96202796
2.509865,0.96237965
2.5074377,0.96273843
2.505015,0.9630954
2.5025971,0.96343988
2.5001838,0.96376408
